"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"ppx1x2p[1,1] s1 a1",0.0043957260523925,0.00343791,0.00141679235661199,3348.4,0.95,8.88582e-06,0.0114858,NA,NA,NA,NA,NA,NA,NA
"ppx1x2p[2,1] s2 a1",0.322170992333333,0.3219705,0.32286102979315,12000,0.95,0.271152,0.373627,NA,NA,NA,NA,NA,NA,NA
"ppx1x2p[3,1] s3 a1",0.3224014835,0.32231,0.324150279513562,12000,0.95,0.272024,0.375478,NA,NA,NA,NA,NA,NA,NA
"ppx1x2p[4,1] s4 a1",0.0039770017013,0.00302631,0.00127432923377727,8444.7,0.95,6.59208e-06,0.0107731,NA,NA,NA,NA,NA,NA,NA
"ppx1x2p[1,2] s1 a2",0.321800415083333,0.3216895,0.322019226440888,12000,0.95,0.271259,0.374567,NA,NA,NA,NA,NA,NA,NA
"ppx1x2p[2,2] s2 a2",0.00393443270362233,0.003008505,0.00120602625762585,5268,0.95,3.57191e-06,0.0105718,NA,NA,NA,NA,NA,NA,NA
"ppx1x2p[3,2] s3 a2",0.00394717853302417,0.003005865,0.00108904398563357,6045.9,0.95,1.79371e-06,0.0108614,NA,NA,NA,NA,NA,NA,NA
"ppx1x2p[4,2] s4 a2",0.00360881307078167,0.002684295,0.000933370144333505,7451.3,0.95,2.54262e-06,0.0100249,NA,NA,NA,NA,NA,NA,NA
"ppx1x2p[1,3] s1 a3",0.00356737379581,0.00264712,0.000929725988360694,9220.5,0.95,7.24198e-06,0.0100093,NA,NA,NA,NA,NA,NA,NA
"ppx1x2p[2,3] s2 a3",0.00349101144752167,0.002556975,0.00103854261830816,7264.7,0.95,5.6475e-06,0.00985099,NA,NA,NA,NA,NA,NA,NA
"ppx1x2p[3,3] s3 a3",0.00352573273312667,0.00262569,0.000893874439830369,10751.3,0.95,1.46392e-05,0.00984781,NA,NA,NA,NA,NA,NA,NA
"ppx1x2p[4,3] s4 a3",0.003179835321885,0.00223916,0.000762158301880175,12000,0.95,6.6969e-07,0.009378,NA,NA,NA,NA,NA,NA,NA
"ppx1p[1]",0.3297635175,0.329516,0.32870176074852,12552.2,0.95,0.278337,0.381959,NA,NA,NA,NA,NA,NA,NA
"ppx1p[2]",0.329596441666667,0.3293615,0.329629492503353,12000,0.95,0.280301,0.383249,NA,NA,NA,NA,NA,NA,NA
"ppx1p[3]",0.32987439175,0.3297875,0.331548804646845,12000,0.95,0.280692,0.384651,NA,NA,NA,NA,NA,NA,NA
